web-scraper-order,web-scraper-start-url,playerpage,playerpage-href,name and birthday,batting,throwing,height,weight,affiliate,OFP p,realistic p,mlb eta p,Overall,mechanics,risk factor,mlb eta,OFP,realistic,primary position,secondary position,physical,Hit,Power,baserunning,glove,arm,hit score,power score,baserunning score,glove score,arm score
"1531174325-65","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Richard Urena","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=405","Richard Urena
		Born: 02/26/1996 (Age: 20)","Bats: Switch","Throws: Right","Height: 6' 0""","Weight: 185","null","null","null","null","A heralded J2 signing in 2012, Urena is a switch-hitting shortstop with above-average glove and arm tools and plus speed, though he tends to play below the tools offensively and on the bases. His offensive game is built on plus bat speed, but he shows an aggressive approach and produces inconsistent contact quality, which limits both the hit and power tools. And the speed plays more in the form of quickness; he'll bunt for base hits, but he has not shown base-stealing acumen, pushing the tool's utility down on the bases. He boasts a capable glove and arm at short, and that combination gives him projection as a big league-average shortstop, with a utility-infield floor if the bat stalls out.","Lithe, narrow frame; wiry, lean strength in limbs","Medium","2018","50","40: Utility Infielder","Primary Position: SS","null","Lithe, narrow frame; wiry, lean strength in limbs","Switch-hitter, left-side only in looks; noisy, multi-stage hand load, high leg lift into stride, will get caught out on front foot; short swing path, plus bat speed; aggressive, all-fields hitter, contact-oriented approach, below-average contact quality, walks will be infrequent, some swing-and-miss","Fringe raw to pull side, can generate some distance to middle of the field, limited carry; aggressive approach, will attempt to ambush early fastballs and sell out for power, quality of contact will limit power production; footspeed to stretch hits for extra bases","4.13 home-to-first from left side; gets out of the box on bunts; has not shown to be an active base-stealing threat","Versatile defender, demonstrates quality body control; capable charging balls, soft on the backhand; moderate range up-the-middle, will get handcuffed waiting on late hops","Above-average arm strength, accuracy from left side, velocity is just average, but throws hold their lines","45","30","60","55","55"
"1531175469-597","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Javier Guerra","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=315","Javier Guerra
		Born: 09/25/1995 (Age: 20)","Bats: Left","Throws: Right","Height: 5' 11""","Weight: 155","null","null","null","null","Signed by Boston for $250,000 out of Panama in 2012, traded to San Diego in November 2015. Guerra is extremely young for his league, and it shows in an extremely raw, aggressive approach at the plate. Premier defensive tools at a premium position, along with some pop in the batter's box, combine to set a high floor for Guerra as an above-average big-league shortstop. A couple steps forward with the approach and swing consistency can put him on the doorstep of a first-division career.","Lean frame, high waist, athletic & fluid, wiry muscle, sneaky strength, quickness in first step, mild upper-body projection remaining without compromising quickness as asset","Moderate","2018","60","55/Above-average starting shortstop","Primary Position: SS","null","Lean frame, high waist, athletic & fluid, wiry muscle, sneaky strength, quickness in first step, mild upper-body projection remaining without compromising quickness as asset","Wide setup, noisy pre-pitch, inconsistent trigger; toe tap, hips leak, firm to front side, struggles with timing; above-average bat speed, strong wrists, bat gets into the zone in a hurry, ability to drive the ball to LCF, can square velocity; hyper-aggressive approach showed signs of toning down in second series look, above-average hand-eye, limited ability to get ahead of sequencing/make adjustments, no present two-strike approach","Above-average raw, swings hard; moderate leverage, swing path to lift it, ball carries off the barrel; power to opposite gap, average possible to pull side, poor approach limits in-game","4.05 with release on a bunt, below-average tool projection; high-effort running style; tentative primary and secondary leads, struggles to time pitchers, below-average base-stealing potential","Natural shortstop actions, extremely fluid, makes it look easy; quick feet, confident first step, lateral quickness offsets below-average raw foot speed; soft, strong hands, body control, seamless transfer from awkward angle; poor reads on a couple hops, non-chalant effort on multiple plays","Easy plus velocity plays up with quick transfer, ability to control trajectory and deliver accurate throws from multiple arm angles","40","50","45","65","65"
"1531174627-202","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Kyle Ryan","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=91","Kyle Ryan

			Born: 09/25/1991 (Age: 22)","Bats: Left","Throws: Left","Height: 6' 5""","Weight: 215","Erie SeaWolves (AA, Tigers)","40","30: Organizational Player","2015","Ryan is an org guy who is starting at AA and putting up half-decent numbers. However, with a potential drop in his arm slot he could see a tick more deception and become a potential LOOGY. He displays solid command and control of all three pitches, and some alterations with the delivery might be what gets him into a major league bullpen.","Tall, lean frame; long arms; minimal growth projection; average arm speed; higher 3/4th arm slot; crossfire delivery with a long stutter; gives some deception and plays up his arsenal; lower half stiff and inconsistent follow-through.","30","FB","30","86-88","null","null","Tall, lean frame; long arms; minimal growth projection; average arm speed; higher 3/4th arm slot; crossfire delivery with a long stutter; gives some deception and plays up his arsenal; lower half stiff and inconsistent follow-through.","null","40","50","null","null","30","40","45","null","null"
"1531175908-802","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Scott Blewett","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=532","Scott Blewett

			Born: 04/10/1996 (Age: 21)","Bats: Right","Throws: Right","Height: 6' 6""","Weight: 210","Wilmington Blue Rocks (High A, Royals)","45","40","2019","Blewett is a tall, projectable right-hander, and there's potential for two plus pitches if he can consistently replicate his motion and get his release point down pat. The changeup doesn't present as a reliable third pitch right now, and is in need of significant development. Blewett could rise to the Majors as a middle reliever with two plus pitches, but for him to play out as a starter, he'll have to gain more traction with a third-pitch to keep lefties at bay.","Very high three-quarter arm slot, borderline over-the-top, average arm speed, clean arm action; mild effort, leverages frame effectively to deliver with vertical extension, struggles to maintain consistent release point","50","FB","60","90-93","null","null","Very high three-quarter arm slot, borderline over-the-top, average arm speed, clean arm action; mild effort, leverages frame effectively to deliver with vertical extension, struggles to maintain consistent release point","null","60","40","null","null","50","50","30","null","null"
"1531175009-384","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Brian Miller","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=427","Brian Miller
		Born: 08/20/1995 (Age: 21)","Bats: Left","Throws: Right","Height: 6' 0""","Weight: 177","null","null","null","null","Miller was impressive in ACC Tournament play, collecting a number of hits and a home run while displaying excellent pitch recognition and plate discipline. This season Miller led the Tar Heels in batting average while walking more than he struck out. Miller makes center field look easy, taking good routes to the ball and controlling his body through difficult catches look easy. He has plenty of speed, and it plays on the base paths and in the field.



The biggest red flag on Miller's profile is his lack of raw power. He’ll likely hit for below-average power at the next level, with more doubles and triples driving his slugging percentage than homers. The hit tool and defense will have to carry him through the minor leagues.","Slight build, physical projection remaining, room to fill out","High","2020","60","45: Second-Division Regular","Primary Position: CF","Secondary Position: RF","Slight build, physical projection remaining, room to fill out","Good balance, premium barrel control; quick to the ball, above-average pitch recognition","Decent leverage in his swing, moderate load and bat wrap, above-average bat speed, gap power","Elite speed (3.98-4.02 home to first), shows advanced base-running skills","Excellent range, gets good reads on the ball; takes efficient routes, will stick in center in pro ball","Solid arm strength and accuracy, ball carries well","60","40","70","60","50"
"1531174637-207","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Joe Ross","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=279","Joe Ross

			Born: 05/21/1993 (Age: 22)","Bats: Right","Throws: Right","Height: 6' 4""","Weight: 220","Harrisburg Senators (AA, Nationals)","55","50; No. 4 Starting Pitcher","Late 2016","50; No. 4 Starting Pitcher. Three above average pitches but command, pitchability and consistency limit effectiveness.","3/4 right hander with plus arm speed; free and easy arm action but somewhat compact extension. Sidestep windup. Deceptive front side but flashes ball behind him with hip slap pickup leading to slight stab; small head jerk as he releases; recovers well and repeats relatively well anyway; excellent athlete.","50","Fastball","60","89-93","null","null","3/4 right hander with plus arm speed; free and easy arm action but somewhat compact extension. Sidestep windup. Deceptive front side but flashes ball behind him with hip slap pickup leading to slight stab; small head jerk as he releases; recovers well and repeats relatively well anyway; excellent athlete.","null","55","55","null","null","50","45","45","null","null"
"1531175505-614","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Nick Gordon","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=334","Nick Gordon
		Born: 10/24/1995 (Age: 20)","Bats: Left","Throws: Right","Height: 6' 0""","Weight: 160","null","null","null","null","Gordon is a premium athlete and is one of the better shortstop prospects in the league. He's struggling to make contact this year, but is still working quality at-bats and playing solid defense. Potential everyday player.","Large frame, lean, athletic body, modest physical projection remaining; quality athlete","Low","2018","55","50/Quality Regular","Primary Position: SS","null","Large frame, lean, athletic body, modest physical projection remaining; quality athlete","Slightly open stance, low hands just below shoulders; small leg kick, quick hands, above-average bat speed; short stroke, slightly uphill swing plane, hole inside and under the hands, will expand zone and chase; potential above-average hitter","Average raw power; generates some loft on hit balls, plays to well below-average at present because of approach and hit utility; chance to play to below-average at full utility","Plus speed, 4.09 home-to-first; raw present base-running skills, gets poor jumps and reads; should improve in time","Not a quick-twitch athlete but makes sound plays; natural instincts and reactions; owns it, confident player, plus run has utility in form of solid range; steady hands, quick transfers","Plus arm, throws have good arc and carry; tends to get lazy and lose his mechanics, accuracy wanders, under-throws to first","55","40","60","55","60"
"1531174548-165","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Luis Severino","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=207","Luis Severino

			Born: 02/20/1994 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 2""","Weight: 215","Trenton Thunder (AA, Yankees)","55","50; 7th inning arm","2015","Severino could very well be the best arm in the Yankees system. That being said, that doesn't make him a sure fire starting pitcher. I was not a fan of Severino's mechanics at all and I also don't think his build could withstand the longevity of a 200 IP season. He is a short strider and lands really stiff with a whippy arm action. His arm slot and landing spot both vary and everything got out of sync often. Severino stuff is very legit though. His FB is a live one and has explosive life while his CH is a big sinking pitch that plays well off of his FB. His SL is a short, tight breaker and he didn't use it as often as I thought he would. Severino's mechanical profile and build lead me to believe his future is in the bullpen, as an 8th inning man, where he can let it rip for an inning or two and he'll be quiet successful.","slim, thin muscled frame; needs to add weight for durability purposes; fast momentum to the plate; live, whippy arm action; extremely fast arm;  inconsistent landing spot and spin tilt at foot strike; hips open early but has arm speed to make up for it; short stride and lands on extreme stiff front side; has no lower half incorporation or leg drive; inconsistent mechanical profile.","60","FB","70","92-96","null","null","slim, thin muscled frame; needs to add weight for durability purposes; fast momentum to the plate; live, whippy arm action; extremely fast arm;  inconsistent landing spot and spin tilt at foot strike; hips open early but has arm speed to make up for it; short stride and lands on extreme stiff front side; has no lower half incorporation or leg drive; inconsistent mechanical profile.","null","50","60","null","null","60","45","50","null","null"
"1531174215-13","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Tyler Ybarra","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=189","Tyler Ybarra

			Born: 12/11/1989 (Age: 24)","Bats: Left","Throws: Left","Height: 6' 2""","Weight: 210","New Hampshire Fisher Cats (AA, Blue Jays)","50","40; up-and-down arm","2015","Left-hander with a live arm; reliever all the way; appeared to be focusing on sharpening fastball command - pumped pitch for majority of the outing; intriguing due to fastball velocity and movement; see getting a shot at the majors at some point; believe capable of getting high leverage outs; feel could settle into 6th/7th inning reliever role.","High 3/4 arm slot; effort in delivery, but keeps it under control; fast arm; balanced, but will over-throw and snap head; sturdy body.","65","Fastball","65","93-95","null","null","High 3/4 arm slot; effort in delivery, but keeps it under control; fast arm; balanced, but will over-throw and snap head; sturdy body.","null","50","null","null","null","65","50","null","null","null"
"1531175271-507","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Brian Johnson","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=198","Brian Johnson

			Born: 12/07/1990 (Age: 23)","Bats: Left","Throws: Left","Height: 6' 4""","Weight: 235","Portland Sea Dogs (AA, Red Sox)","45","40; Middle Reliever/Spot Starter","2015","Johnson is a command/control pitcher that keeps the ball low and pounds the corners of the plate. He lacks any impact offering, but blends together a nice mold of pitchability and command to help play up the lack of stuff.



Johnson has minimal growth left and is likely in the majors within the next year or two. He may slot into a backend role simply because he can command all three pitches and is durable, but he fits better as a swingman or middle reliever.



I did not see any 2S or SL the entire night, which he has thrown in the past. He was clearly working on the CB, and was still able to produce a quality outing.","Maxed frame; tall lefty with thick bottom half; legs are thick and muscled; high 3/4th arm slot; average arm speed; delivery is stiff; very mild drive and more upper half; very slight stab; loosened up as the game went along and began driving more towards home; delivery is slow and deliberate out of stretch; keeps body balanced and compact; good plane; mechanics are fluid; 1.46-1.51 delivery times.","45","FB","45","87-91","null","null","Maxed frame; tall lefty with thick bottom half; legs are thick and muscled; high 3/4th arm slot; average arm speed; delivery is stiff; very mild drive and more upper half; very slight stab; loosened up as the game went along and began driving more towards home; delivery is slow and deliberate out of stretch; keeps body balanced and compact; good plane; mechanics are fluid; 1.46-1.51 delivery times.","null","50","50","null","null","45","45","45","null","null"
"1531175884-791","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Colin Bray","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=275","Colin Bray
		Born: 06/18/1993 (Age: 22)","Bats: Switch","Throws: Left","Height: 6' 3""","Weight: 197","null","null","null","null","Drafted by the Arizona Diamondbacks in the 6th round of the 2013 MLB June Amateur Draft from Faulkner State College (Bay Minette, AL).



Colin Bray's glove will earn him some major league playing time as a 4th outfielder. His ability to read the ball and the jumps he gets meld with his athleticism and allows him to cover a lot of real estate out in center field. Bray has enough arm for center as well. His hit tool precludes him from a starter's role but Bray can be a contributor as a fourth outfielder.","Athletic body; high-waisted frame with room for some projection.","High","2017","45","40 - Fourth Outfielder","Primary Position: CF","Secondary Position: LF","Athletic body; high-waisted frame with room for some projection.","Above average bat speed; linear swing path; some pre-swing noise; slight hitch with the swing; gets hands going late; moderate barrel control; mild load; swing gets unbalanced against off-speed; shows ability to use all fields.","40 raw power, 20 in-game; minimal strength; gap-oriented power game; minimal over-the-fence power.","Consistently in the 4.15 range to first; fluid athlete with a second gear; ability to read pitchers is still developing but has shown progress; will be a factor on offense and defense.","Covers a lot of ground; reads ball very well off the bat; takes proper and efficient routes to flyballs; cuts off balls in the gap.","Above average arm strength; plus accuracy; ball carries.","40","20","60","60","55"
"1531175246-495","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Jerry Keel","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=443","Jerry Keel

			Born: 09/26/1993 (Age: 22)","Bats: Left","Throws: Left","Height: 6' 6""","Weight: 240","Fort Wayne TinCaps (Low A, Padres)","40","30: Org Depth","","Keel has four pitches and average velocity from the left side, and the fastball plays well with occasional sink and dive. His command is fringy, and he lacks an overpowering pitch. The changeup and slider both showed potential as 40-45 pitches, but the curve displayed no real promise of developing into a useable major league pitch. His arm speed in general is slow, and it wavers on the deuce. 



The long-term outlook here is an organizational depth piece with some potential of touching the majors as a left-hander out of the bullpen if either his change or slider take a step forward.","Long tall body, long arms; high leg lift, slow, mechanical, low three-quarter arm slot, slingshot arm action, deceptive, slow arm, wavers on curveball; command is fringy at best, missed spots, didn't show pitchability","45","FB","50","88-91","null","null","Long tall body, long arms; high leg lift, slow, mechanical, low three-quarter arm slot, slingshot arm action, deceptive, slow arm, wavers on curveball; command is fringy at best, missed spots, didn't show pitchability","null","40","45","35","null","45","35","35","30","null"
"1531175242-493","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Brad Keller","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=306","Brad Keller

			Born: 07/27/1995 (Age: 19)","Bats: Right","Throws: Right","Height: 6' 5""","Weight: 230","Kane County Cougars (Low A, D-backs)","45","40 - Swingman with middle relief fallback.","2017","Drafted by the Arizona Diamondbacks in the 8th round of the 2013 MLB June Amateur Draft from Flowery Branch HS (Flowery Branch, GA).



Keller's fastball has three distinct looks as he can cut it, sink it and run it in on hitters. The different looks function as his secondaries as his pitch mix is fastball dominated. The secondaries are underdeveloped; he doesn't have much feel for his slider nor his change. Keller works too quickly out of the stretch and leaks energy and loses velocity on his fastball. Keller can learn a proper cutter and function as a 5th starter with middle relief as a fallback.","Tall, sturdy frame; not much room in the frame for good weight; low 3/4 delivery; above-average arm speed; stab in the back; drop-and-drive delivery; clean foot strike; moderate effort in the delivery; 1.10-1.19 to home with a runner on first.","55","Fastball","60","91-94","null","null","Tall, sturdy frame; not much room in the frame for good weight; low 3/4 delivery; above-average arm speed; stab in the back; drop-and-drive delivery; clean foot strike; moderate effort in the delivery; 1.10-1.19 to home with a runner on first.","null","40","45","null","null","55","30","40","null","null"
"1531175007-383","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Hoby Milner","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=131","Hoby Milner

			Born: 01/13/1991 (Age: 23)","Bats: Left","Throws: Left","Height: 6' 2""","Weight: 165","Reading Fightin Phils (AA, Phillies)","45","40; Triple-A starter","N/A","Crafty lefty with pitchability and poise; stuff is below-average; more control than command; body is immature but lacks physical projection; fastball is effective for what it is; mostly 88 but he can work most sides of the plate; changeup was good pitch; chance to be average; not a weapon but enough deception and movement to be effective; breaking ball can be thrown for strikes but its soft and slurvy; lacks arsenal for major league future; upper minors arm in either starter/relief role; type to stick around the game for a long time.","Immature build; very skinny; lacks physical projection given body type; advanced pitchability; shows a lot of balls on the mound; competes; high leg in the delivery, with some visual deception caused by sharp, angular movements from the skinny limbs; half-wind-up; slightly above standard 3/4 slot; repeats his delivery; maintains a good line to the plate; 1.2-135 to the plate with runners on.","40","FB","45","87-89","null","null","Immature build; very skinny; lacks physical projection given body type; advanced pitchability; shows a lot of balls on the mound; competes; high leg in the delivery, with some visual deception caused by sharp, angular movements from the skinny limbs; half-wind-up; slightly above standard 3/4 slot; repeats his delivery; maintains a good line to the plate; 1.2-135 to the plate with runners on.","null","50","45","null","null","40","50","40","null","null"
"1531176070-879","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Miguel Almonte","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=60","Miguel Almonte

			Born: 04/04/1993 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 2""","Weight: 210","Lexington Legends (Low A, Royals)","65","No. 2 Starter","2016","Will throw a slider; have not seen pitch in game action; only FB/CH/CB; looks the part of a pitcher; might have some projection left, but lower half is thicker in ST than it was during FIL; big culo; more length than height suggests; overall command profile is below average at present; potential to be average or slightly better; shows some balls on the mound; has something that just stands out; domination factor; pitches with an edge.



Simple, easy delivery; really smooth arm action; great extension; fastball is lively and loose; routinely sits plus and has worked 94-96 without max effort; very real arm strength; changeup is major-league name pitch; could end up a 7; the overall feel and confidence of pitch pushes it up; curveball can flash but might not be the breaking ball he ends up with; he can spin it and make it work now, but hard to see it becoming true plus weapon. Overall profile is very strong and could emerge as premier arm in the system. In four looks, I’ve been impressed four times. On the rise.","Very fluid and athletic delivery; extremely loose; Teheran-like arm action; easy release; controls long arms; good consistency in three-quarter slot; good balance and timing; long stride; has some deception with high front-side and low ball pickup (below the waist); some drag, but arm is very fast; can over-rotate and fall off to first base side; looks clean.","60","Fastball","60","","null","null","Very fluid and athletic delivery; extremely loose; Teheran-like arm action; easy release; controls long arms; good consistency in three-quarter slot; good balance and timing; long stride; has some deception with high front-side and low ball pickup (below the waist); some drag, but arm is very fast; can over-rotate and fall off to first base side; looks clean.","null","70","50","null","null","60","60","40","null","null"
"1531176087-887","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Jorge Alfaro","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=387","Jorge Alfaro
		Born: 06/11/1993 (Age: 23)","Bats: Right","Throws: Right","Height: 6' 2""","Weight: 225","null","null","null","null","A Colombian international signee acquired from Texas in the Cole Hamels trade, Alfaro is a five-tool catching prospect with plus-plus arm strength. The hit tool shows average potential despite an aggressive, swing-heavy approach with a high propensity for swing-and-miss. He offsets those vulnerabilities with the ability to make hard contact, use the middle and opposite side of the field, and scratch out infield hits with his speed. Above-average raw strength and the ability to create hard contact should result in average power output, while his tendency to produce lower-trajectory hits could result in more doubles than home runs. The strength is there to leave the yard, however. He's a max-effort runner up the line and will show present plus speed, though the demands of the position are likely to diminish that. 



Alfaro is a solid receiver behind the plate, though he'll get too comfortable at times and stab at balls rather than use his athleticism. Plus-plus arm strength helps to combat the running game. Has the offensive tool set to be more than just a catch and throw receiver, with the overall ability to develop into an above-average catcher.","Square frame, mature, solid build; barrel chest, thick torso; strength in forearms; sturdy, muscled lower half","Medium","2017","55","50: Major League Regular Catcher","Primary Position: C","null","Square frame, mature, solid build; barrel chest, thick torso; strength in forearms; sturdy, muscled lower half","Open stance, very slight hand drift; longer bat path, plus bat speed; front foot lands open, generates torque; varies load transfer in anticipation of pitch, plants early when expecting offspeed; generates solid to hard contact with high frequency, high-BABIP hitter, works the middle and opposite fields; aggressive hitter, walks infrequently though not impatient; lots of swing-and-miss","Power the opposite way, tendency to pull in BP; strength of contact, directional approach will generate extra bases; flatter plane, lower-trajectory elevation, line drives carry with strength to clear fences; swing-and-miss frequency limits utility; more raw in the tank but home-run power plays down due to swing plane","4.21 home-to-first; full-speed effort on bases; position will limit future ceiling; not a stolen base threat, but will put pressure on defense","Sets quiet target, solid receiver, maintains firm hold; athletic behind the plate, will stab at pitches in dirt, to extremities; handles balls in play, plays at plate","1.89 pop; arm strength to impact running game; keeps throws around the bag, ball will sail, misses tend to be high","50","50","55","50","70"
"1531174316-61","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Julio Urias","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=97","Julio Urias

			Born: 08/12/1996 (Age: 17)","Bats: Left","Throws: Left","Height: 6' 0""","Weight: 215","Rancho Cucamonga Quakes (High A, Dodgers)","65","60; number three stater","2015","Advanced pitchability; major league quality body; chance for three plus offerings; fastball/slider combo is nasty; changeup should get there; command needs work, perhaps a full-grade jump to really take off; more polish than projection, and I don't see a true frontline future; number two starter on first-division team with likely outcome falling just a little under that. Special arm given the age and present combination of stuff/feel for craft.","Taller than listed height; closer to 6'1''l; Mexican build; some thickness around the middle; body could become high maintenance; throws from standard 3/4 slot; very easy delivery and release; deliberate stride; hips are very active; creates angle and stays over the ball; slow to plate with runners on (1.45-1.55); good PFP","60","FB","65","91-94","null","null","Taller than listed height; closer to 6'1''l; Mexican build; some thickness around the middle; body could become high maintenance; throws from standard 3/4 slot; very easy delivery and release; deliberate stride; hips are very active; creates angle and stays over the ball; slow to plate with runners on (1.45-1.55); good PFP","null","65","55","null","null","60","60","45","null","null"
"1531175214-480","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Dexter Kjerstad","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=335","Dexter Kjerstad
		Born: 01/19/1992 (Age: 24)","Bats: Right","Throws: Right","Height: 6' 1""","Weight: 210","null","null","null","null","Playing in the Miami organization after being released by the Royals this past off-season, Kjerstad shows an interesting power-and-speed combination. He shows some viable tools, but they lack projection for utility at the big league level. Upper-level depth player.","Large frame, muscular, lacks remaining projection","High","2019","30","Organizational Outfielder","Primary Position: CF","Secondary Position: LF","Large frame, muscular, lacks remaining projection","Slightly closed stance; stiff hands; muscular swing with shoulders; poor pitch recognition; below-average bat speed","Average raw power; present strength; hard contact; plays near full utility at present","Above-average runner; surprising given size; 4.24 home-to-first, no stolen base attempts","Struggles with routes in CF; looks more comfortable in LF; speed has utility with fair range to both sides","Below-average arm; lacks carry on throws; gets to cutoff men fairly quickly","30","45","55","45","40"
"1531174738-255","https://legacy.baseballprospectus.com/prospects/eyewitness.php","A.J. Reed","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=238","A.J. Reed
		Born: 05/10/1993 (Age: 22)","Bats: Left","Throws: Left","Height: 6' 4""","Weight: 275","null","null","null","null","Reed is exactly the kind of advanced power bat that really has little to prove in the California League. His raw strength and collegiate polish are a recipe for exactly the kind of Herculean numbers he's produced thus far, and we're not going to be able to draw too many conclusions about the central question of his power utility until he gets challenged by better sequencing and fastball execution at higher levels. 



Still, it's very much worth confirming that the bat looks very good. It's a three-true-outcome profile, and there will be ample swing-and-miss in his game thanks to a load that can get sloppy and modest bat speed. But Reed's approach is among the more advanced I've seen in the league and he shows a rare ability among hitters with his kind of raw power to get to it in games. He demonstrates a good kind of patience, working counts well and attacking with a selective aggression. He's not passive and will jump fastballs early in counts while also showing encouraging discipline in laying off heaters in the tougher-to-reach corners of the zone. 



The intelligence in the box pairs well with top-shelf brute strength to offset some of the physical limitations Reed's large frame presents, and the combination gives his light-tower power the opportunity to play. I'm bullish he can continue to bring a sizeable chunk of the power into games against advanced pitching and produce value despite a fringy defensive profile. The production will get discounted for the time being on account of league and ballpark context, but Reed has legitimate impact offensive potential and projects as a potential middle-of-the-order bat in a good lineup.","Behemoth; physically maxed-out 6'4"", 240 pounds; big boy strength, barrel-chested with broad, thick shoulders, wide base; Ruthian gait; sneaky coordination and athleticism despite limited mobility and dexterity.","High","2017","55","50/second-division 1B/DH, power bat off the bench","Primary Position: 1B","Secondary Position: DH","Behemoth; physically maxed-out 6'4"", 240 pounds; big boy strength, barrel-chested with broad, thick shoulders, wide base; Ruthian gait; sneaky coordination and athleticism despite limited mobility and dexterity.","Wide base, balanced crouch with loose hands high to back ear and east/west waggle; indirect path on longish load takes an inconsistent shape; hands bob into rhythmic wrist-cock, back-end length to trigger point; doesn't repeat load well, barrel delivery can wander; short stride, generates significant torque and separation with front shoulder, will bar front arm when he over-extends; polished approach, disciplined in and out of zone, evident plan of attack when he offers in different quadrants; demonstrated ability to work up the middle and to left-center with toned-down swing; hangs in against same-handed pitching, tracks spin well; fringe-average raw hit tool projection plays up with strong walk rate and OBP profile.","Raw is double-plus, BP sessions are shows of force; elite strength, bat speed limited to above-average by slower hips and long rotation from deep coil; extends early, looks to drive on the outer half; LCF power alley, strength to muscle the ball out without flush contact; can turn on inner-third velocity; advanced ability to get himself into position to maximize game power.","Three clocks at 4.48, 4.36, and 4.44; can generate a head of steam under way, well below-average pick-up and foot speed; takes good angles rounding first on doubles.","Below-average at present; moves decently around the bag with some notable mobility given size; below-average lateral quickness, footwork is raw, slow into cross-over; range is limited, solid hands on balls he can reach, handles short-hops.","Plenty of arm strength, pure velocity may be 65; poor body control throwing on the move; slow to get into throwing position, footwork lags; potential for above-average utility with additional reps.","50","65","30","45","55"
"1531175172-460","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Eric Lauer","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=460","Eric Lauer

			Born: 06/03/1995 (Age: 21)","Bats: Right","Throws: Left","Height: 6' 3""","Weight: 205","Fort Wayne TinCaps (Low A, Padres)","55","55: No. 3/4","2018","The Padres' first-rounder this summer, Lauer has the size and strength to be a big-league starter, and presents as a polished, low-risk left-hander. He lacks a true out pitch, but demonstrates feel and confidence with his pitches. The fastball has a nice combination of velocity, movement, and command, and it projects to a plus offering. The change shows average potential; he demonstrates feel for the it, and it plays with quality velocity separation. His slider showed improvement from my two looks at him with Kent State in the spring, and shows the makings of an above-average pitch. He did not utilize a curve in this look, though it had previously looked fringy but serviceable as a fourth pitch. He projects as a reliable starter who will slot comfortably into the middle of a rotation, and can he can do so relatively quickly. A late 2017 debut would not out of the question if he hits the ground running next spring.","Athletic, effortless delivery, repeatable; high leg lift, clean arm action, three-quarter slot; follows through with ease, can get slow to the plate out of the stretch, runners got good jumps on him; positive reports on makeup, mature player","50","FB","60","91-93","null","null","Athletic, effortless delivery, repeatable; high leg lift, clean arm action, three-quarter slot; follows through with ease, can get slow to the plate out of the stretch, runners got good jumps on him; positive reports on makeup, mature player","null","50","55","null","null","50","40","40","null","null"
